,annotator,label,stars,sentence1
0,gj04,1,,"Our friends won't buy this analysis, let alone the next one we propose."
1,gj04,1,,One more pseudo generalization and I'm giving up.
2,gj04,1,,One more pseudo generalization or I'm giving up.
3,gj04,1,,"The more we study verbs, the crazier they get."
4,gj04,1,,Day by day the facts are getting murkier.
5,gj04,1,,I'll fix you a drink.
6,gj04,1,,Fred watered the plants flat.
7,gj04,1,,Bill coughed his way out of the restaurant.
8,gj04,1,,We're dancing the night away.
9,gj04,1,,Herman hammered the metal flat.
10,gj04,1,,The critics laughed the play off the stage.
11,gj04,1,,The pond froze solid.
12,gj04,1,,Bill rolled out of the room.
13,gj04,1,,The gardener watered the flowers flat.
14,gj04,1,,The gardener watered the flowers.
15,gj04,1,,Bill broke the bathtub into pieces.
16,gj04,1,,Bill broke the bathtub.
17,gj04,1,,They drank the pub dry.
18,gj04,0,*,They drank the pub.
19,gj04,1,,The professor talked us into a stupor.
20,gj04,0,*,The professor talked us.
21,gj04,1,,We yelled ourselves hoarse.
22,gj04,0,*,We yelled ourselves.
23,gj04,0,*,We yelled Harry hoarse.
24,gj04,1,,Harry coughed himself into a fit.
25,gj04,0,*,Harry coughed himself.
26,gj04,0,*,Harry coughed us into a fit.
27,gj04,1,,Bill followed the road into the forest.
28,gj04,1,,We drove Highway 5 from SD to SF.
29,gj04,1,,Fred tracked the leak to its source.
30,gj04,1,,John danced waltzes across the room.
31,gj04,1,,Bill urinated out the window.
32,gj04,1,,Bill coughed out the window.
33,gj04,1,,Bill bled on the floor.
34,gj04,1,,The toilet leaked through the floor into the kitchen below.
35,gj04,1,,Bill ate off the floor.
36,gj04,1,,Bill drank from the hose.
37,gj04,1,,This metal hammers flat easily.
38,gj04,1,,They made him president.
39,gj04,1,,They made him angry.
40,gj04,0,*,They caused him to become angry by making him.
41,gj04,0,*,They caused him to become president by making him.
42,gj04,0,*,They made him to exhaustion.
43,gj04,1,,They made him into a monster.
44,gj04,1,,The trolley rumbled through the tunnel.
45,gj04,1,,The wagon rumbled down the road.
46,gj04,1,,The bullets whistled past the house.
47,gj04,1,,The knee replacement candidate groaned up the stairs.
48,gj04,0,*,The car honked down the road.
49,gj04,0,*,The dog barked out of the room.
50,gj04,1,,The dog barked its way out of the room.
51,gj04,1,,Bill whistled his way past the house.
52,gj04,1,,The witch vanished into the forest.
53,gj04,1,,Bill disappeared down the road.
54,gj04,0,*,The witch went into the forest by vanishing.
55,gj04,1,,The witch went into the forest and thereby vanished.
56,gj04,1,,The building is tall and wide.
57,gj04,0,*,The building is tall and tall.
58,gj04,1,,This building is taller and wider than that one.
59,gj04,1,,This building got taller and wider than that one.
60,gj04,1,,This building got taller and taller.
61,gj04,0,*,This building is taller and taller.
62,gj04,0,*,This building got than that one.
63,gj04,0,*,This building is than that one.
64,gj04,1,,Bill floated into the cave.
65,gj04,0,*?,Bill floated into the cave for hours.
66,gj04,0,*?,Bill pushed Harry off the sofa for hours.
67,gj04,1,,Bill floated down the river for hours.
68,gj04,1,,Bill floated down the river.
69,gj04,1,,Bill pushed Harry along the trail for hours.
70,gj04,1,,Bill pushed Harry along the trail.
71,gj04,1,,The road zigzagged down the hill.
72,gj04,1,,The rope stretched over the pulley.
73,gj04,1,,The weights stretched the rope over the pulley.
74,gj04,1,,The weights kept the rope stretched over the pulley.
75,gj04,1,,Sam cut himself free.
76,gj04,1,,Sam got free by cutting his finger.
77,gj04,1,,Bill cried himself to sleep.
78,gj04,0,*,Bill cried Sue to sleep.
79,gj04,1,,Bill squeezed himself through the hole.
80,gj04,1,,Bill sang himself to sleep.
81,gj04,1,,Bill squeezed the puppet through the hole.
82,gj04,1,,Bill sang Sue to sleep.
83,gj04,0,*,The elevator rumbled itself to the ground.
84,gj04,1,,"If the telephone rang, it could ring itself silly."
85,gj04,0,*,She yelled hoarse.
86,gj04,0,*,Ted cried to sleep.
87,gj04,1,,The tiger bled to death.
88,gj04,1,,"He coughed awake and we were all overjoyed, especially Sierra."
89,gj04,1,,"John coughed awake, rubbing his nose and cursing under his breath."
90,gj04,1,,John coughed himself awake on the bank of the lake where he and Bill had their play.
91,gj04,1,,Ron yawned himself awake.
92,gj04,1,,She coughed herself awake as the leaf landed on her nose.
93,gj04,1,,The worm wriggled onto the carpet.
94,gj04,1,,The chocolate melted onto the carpet.
95,gj04,0,*,The ball wriggled itself loose.
96,gj04,1,,Bill wriggled himself loose.
97,gj04,1,,Aliza wriggled her tooth loose.
98,gj04,1,,The off center spinning flywheel shook itself loose.
99,cj99,1,,"The more you eat, the less you want."
100,cj99,1,,"If you eat more, you want correspondingly less."
101,cj99,1,,"When you eat more, you want correspondingly less."
102,cj99,1,,"As you eat more, you want correspondingly less."
103,cj99,0,*,"The most you want, the least you eat."
104,cj99,1,,"The angrier Sue gets, the more Fred admires her."
105,cj99,1,,"The more that you eat, the less that you want."
106,cj99,1,,"The angrier that Sue gets, the more that Fred admires her."
107,cj99,1,,"I think that the more you eat, the less you want."
108,cj99,1,,"I'm not shocked by the idea that the more you eat, the less you want."
109,cj99,1,,"It is obvious that the more you eat, the less you want."
110,cj99,1,,"It is not entirely clear if the more you eat, the less you want."
111,cj99,1,,"I want to explain exactly why the more you eat, the less you want."
112,cj99,1,,"I demand that the more John eats, the more he pays."
113,cj99,0,*,"I demand that the more John eat, the more he pay."
114,cj99,1,,"I demand that John pay more, the more he eats."
115,cj99,0,*,"I demand that John pays more, the more he eat."
116,cj99,1,,"You get angrier, the more we eat, don't you."
117,cj99,0,*,"You get angrier, the more we eat, don't we."
118,cj99,0,*,"The harder it has rained, how much faster a flow that appears in the river?"
119,cj99,1,,"The harder it has rained, how much faster a flow appears in the river?"
120,cj99,0,*,"The harder it rains, how much faster that do you run?"
121,cj99,1,,"The harder it rains, how much faster do you run?"
122,cj99,1,,"The harder it rains, how much faster a flow do you see in the river?"
123,cj99,0,*,"The harder it rains, how much faster a flow that do you see in the river?"
124,cj99,1,,"When it rains harder, how much faster a flow appears in the river?"
125,cj99,1,,"As it rains harder, how much faster a flow appears in the river?"
126,cj99,0,*,"As it rains harder, how much faster a flow that appears in the river?"
127,cj99,0,*,"When it rains harder, how much faster a flow that appears in the river?"
128,cj99,1,,"How much harder has it rained, the faster a flow you see in the river?"
129,cj99,1,,"How much harder has it rained, when you see a faster flow in the river?"
130,cj99,0,*,"The more John eats, the tighter keep your mouth shut about it."
131,cj99,0,*,"The more everyone eat, the more John keeps his big mouth shut about it, OK?"
132,cj99,1,,"When John eats more, keep your mouth shut tighter, OK?"
133,cj99,1,,"As John eats more, keep your mouth shut tighter, OK?"
134,cj99,1,,"Keep your mouth shut tighter, the more John eats, OK?"
135,cj99,1,,"Everyone keep your mouth shut tighter, the more John eats, OK?"
136,cj99,0,??,"I can well imagine the more him eating, the fatter him getting."
137,cj99,1,,Bill can well imagine getting fat.
138,cj99,0,*,"Bill can well imagine the more he eats, the fatter getting."
139,cj99,1,,"Fred can well imagine Joe getting fatter, the more he eats."
140,cj99,0,*,"It is important the more you eat, the more careful to be."
141,cj99,0,*,"It is important for the more you eat, the more careful to be."
142,cj99,0,*,"It is important the more you to eat, the more careful to be."
143,cj99,0,*,"It is important the more you eat, the more careful you to be."
144,cj99,0,*,"It is important the more you eat, the more careful for you to be."
145,cj99,0,*,"It is important for the more you to eat, the more careful to be."
146,cj99,0,*,"It is important for the more you to eat, the more careful for you to be."
147,cj99,0,*,"It is important the more you to eat, the more careful for you to be."
148,cj99,0,*,"It is important for the more you eat, the more careful you to be."
149,cj99,1,,"It is important for you to be more careful, the more you eat."
150,cj99,1,,"It is important to be more careful, the more you eat."
151,cj99,0,*,I can well imagine quickly Mary answering the question.
152,cj99,0,?*,I can well imagine with a hatchet Mary destroying the Jeep.
153,cj99,0,?*,"I can well imagine if he eats more, him getting fat."
154,cj99,0,*,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed."
155,cj99,0,*,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed."
156,cj99,1,,Mary listens to the Grateful Dead and she gets depressed.
157,cj99,1,,"If Mary listens to the Grateful Dead, she gets depressed."
158,cj99,1,,"When Mary listens to the Grateful Dead, she gets depressed."
159,cj99,1,,Mary gets depressed if she listens to the Grateful Dead.
160,cj99,1,,Mary gets depressed when she listens to the Grateful Dead.
161,cj99,1,,"The more she looked at pictures, the angrier Mary got."
162,cj99,0,*,"The more pictures Mary looked at, she got angrier and angrier."
163,cj99,1,,Mary gets depressed and she listens to the Grateful Dead.
164,cj99,1,,"The higher the stakes are, the lower his expectations are."
165,cj99,1,,"The higher the stakes, the lower his expectations."
166,cj99,1,,"His expectations are lower, the higher the stakes."
167,cj99,1,,"His expectations are lower, the higher the stakes are."
168,cj99,0,*,"His expectations lower, the higher the stakes."
169,cj99,0,*,"His expectations lower, the higher the stakes are."
170,cj99,1,,"The more obnoxious Fred is, the less attention you should pay to him."
171,cj99,0,*,"The more obnoxious Fred, the less attention you should pay to him."
172,cj99,1,,"The more Fred is obnoxious, the less you should pay attention to him."
173,cj99,0,*,"The more obnoxious Fred, the less you should pay attention to him."
174,cj99,1,,His expectations are always lower than mine.
175,cj99,1,,John was lots more obnoxious than Fred was.
176,cj99,1,,"You should always lock your door, no matter how fancy the hotel might be."
177,cj99,1,,"You should always lock your door, no matter how fancy the hotel."
178,cj99,1,,"I don't plan to lock the door, no matter how fancy this hotel is."
179,cj99,0,*,"I don't plan to lock the door, no matter how fancy this hotel."
180,cj99,1,,"I'm going out, whatever the weather."
181,cj99,1,,"I'm going out, wherever that hurricane might be."
182,cj99,0,*,"I'm going out, wherever that hurricane."
183,cj99,1,,The more examples Mary says that Bill has helped Fred to discover the less I believe her.
184,cj99,0,*,The more food Mary knows a man that eats the poorer she gets.
185,cj99,0,*,The fatter he goes to a doctor when he gets the more he eats.
186,cj99,0,*,"The fatter that that he gets bothers him, the more he eats."
187,cj99,0,*,"The more books I ask to whom he will give, the more he reads."
188,cj99,0,*,The more people I ask what he will give to the more he reads.
189,cj99,1,,The more carefully he words the letter the safer he'll be.
190,cj99,0,*,The more carefully he knows a man that worded the letter the safer he'll be.
191,cj99,1,,"The more geniuses John meets, the angrier he gets."
192,cj99,0,*,"The more John meets geniuses, the angrier he gets."
193,cj99,1,,"The more people you say will buy tickets, the happier I'll be."
194,cj99,0,*,"The more people you say that will buy tickets, the happier I'll be."
195,cj99,1,,"The more people you say that right after the show opens will buy tickets, the happier I'll be."
196,cj99,1,,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate."
197,cj99,0,*,"The more he eats, the poorer he knows a woman that gets."
198,cj99,0,*,"The more he eats, the fatter he goes to a doctor when he gets."
199,cj99,0,*,"The more he eats, the fatter that that he gets really bothers me."
200,cj99,0,*,"The more he reads, the more books I wonder to whom he will give."
201,cj99,0,*,"The more he reads, the more people I wonder what he will give to."
202,cj99,0,*,"The sooner you call, the more carefully I know a man that will word the letter."
203,cj99,1,,"The richer John gets, the more geniuses John meets."
204,cj99,0,*,"The richer he gets, the more John meets geniuses."
205,cj99,1,,"The more articles he reads, the fewer people he thinks will go into linguistics."
206,cj99,0,*,"The more articles he reads, the fewer people he thinks that will go into linguistics."
